id,name,enteredDate,enteredBy
PT18,NF-kappaB,20070224,kathy
PT180,EP4,20071104,kathy
PT181,PSTI,20071104,kathy
PT182,Progesterone,20071104,kathy
PT183,Platelet activating factor,20071104,kathy
PT184,Adhesion molecule,20071104,kathy
PT185,iNOS,20071124,kathy
PT186,Cytochrome C,20071124,kathy
PT187,Beta-1 integrin,20071124,kathy
PT188,5-LOX,20071125,kathy
PT189,PARP-1,20071126,kathy
PT19,NK Cells,20070226,moshe
PT190,cdc-25,20071201,kathy
PT191,CAM,20071201,kathy
PT193,TIMP-1,20071204,kathy
PT194,GM-CSF,20071204,kathy
PT195,CREB,20071204,kathy
PT196,IL 23,20071206,kathy
PT197,MRP-14,20071206,kathy
PT198,MIP2alpha,20071206,kathy
PT199,CD40L,20071206,kathy
PT2,HER-2,20070218,kathy
PT20,EGFR,20070301,kathy
PT200,IL 21,20071206,kathy
PT201,serum amyloid A,20071206,kathy
PT202,IL 32,20071206,kathy
PT203,IL 17,20071206,kathy
PT204,IL 16,20071206,kathy
PT205,Substance P,20071206,kathy
PT206,T-bet,20071206,kathy
PT207,TL1A,20071206,kathy
PT208,ROIs,20071207,kathy
PT209,POPs,20071207,kathy
PT21,Akt,20070301,kathy
PT210,8-OHdG,20071207,kathy
PT211,BDNF,20071210,kathy
PT212,ADAM-17,20071211,kathy
PT213,VLA-1,20071212,kathy
PT214,LFA-1,20071212,kathy
PT215,ADAMTS-1,20071212,kathy
PT216,ADAMTS-4,20071212,kathy
PT217,TIMP-3,20071212,kathy
PT218,D1,20071212,kathy
PT219,P2X-3,20071212,kathy
PT22,abl,20070306,kathy
PT220,microtubules,20071212,kathy
PT221,PTEN,20071212,kathy
PT222,Retinoic acid,20071212,kathy
PT223,GSHPx,20071212,kathy
PT224,Catalase,20071212,kathy
PT225,MEK,20071212,kathy
PT226,IL-1alpha,20071212,kathy
PT227,Mn superoxide dismutase,20071212,kathy
PT228,Thrombin,20071213,kathy
PT229,TRPM7,20071213,kathy
PT23,alk,20070306,kathy
PT230,Wnt,20071213,kathy
PT231,HSP90,20071213,kathy
PT232,gp78,20071213,kathy
PT233,hMLH1,20071216,kathy
PT234,LL-37/hCAP-18,20071217,kathy
PT236,gelatinase,20071226,kathy
PT237,IL 13,20071226,kathy
PT238,MMP-9,20071226,kathy
PT239,caspase 3,20071226,kathy
PT24,axl,20070306,kathy
PT240,MMP-2,20071226,kathy
PT241,FADD,20071226,kathy
PT242,collagenase,20071226,kathy
PT243,MMP-1,20071227,kathy
PT244,IL 15,20071227,kathy
PT245,IP-10,20071227,kathy
PT246,CD54,20071228,kathy
PT247,C-reactive protein (CRP),20071229,kathy
PT248,Fibrin,20080103,kathy
PT249,MMP-12,20080110,kathy
PT25,bcl,20070306,kathy
PT250,GADD153,20080113,kathy
PT251,McI-1,20080113,kathy
PT252,K-ras,20080114,kathy
PT253,ER (unspecified),20080124,kathy
PT254,thymidylate synthase,20080128,kathy
PT255,Src kinase,20080129,kathy
PT256,CtIP,20080129,kathy
PT257,dopamine,20080130,kathy
PT258,bFGF,20080130,kathy
PT259,TbetaRII,20080130,kathy
PT26,bcr/abl,20070306,kathy
PT260,PI-9,20080130,kathy
PT261,chromogranin A,20080207,kathy
PT262,GSK-3beta,20080207,kathy
PT263,PPARdelta,20080207,kathy
PT264,cyclin D1,20080207,kathy
PT265,CDK p21,20080207,kathy
PT266,CDK p27,20080207,kathy
PT267,Notch-1,20080207,kathy
PT268,p21/WAF1,20080207,kathy
PT269,CDKI,20080207,kathy
PT27,c-myc,20070306,kathy
PT270,glial fibrillary acidic protein,20080207,kathy
PT271,caspase 8,20080207,kathy
PT272,caspase 9,20080207,kathy
PT273,C-FLIP,20080207,kathy
PT274,Na(+)/I(-) symporter,20080210,kathy
PT275,cyclin A,20080210,kathy
PT276,MAPK,20080210,kathy
PT277,CEBPalpha,20080210,kathy
PT278,Hgb F,20080210,kathy
PT279,Hepatocyte growth factor,20080210,kathy
PT28,gip,20070306,kathy
PT280,HLA-G,20080210,kathy
PT281,CAR,20080210,kathy
PT282,SKP1A,20080211,kathy
PT283,tissue factor (TF),20080211,kathy
PT284,IRF-3,20080211,kathy
PT285,IRF-8,20080211,kathy
PT286,cPLA(2),20080211,kathy
PT287,NCAM,20080211,kathy
PT289,constitutive androstane receptor,20080211,kathy
PT29,gli,20070306,kathy
PT290,GSK-3alpha,20080211,kathy
PT291,CD44,20080211,kathy
PT292,Na channels,20080303,kathy
PT293,TRPV1,20080303,kathy
PT294,GABA,20080312,kathy
PT295,glutamate,20080312,kathy
PT296,calcium ion channels,20080312,kathy
PT297,Carbonic anhydrase,20080312,kathy
PT298,RAGE,20080312,kathy
PT299,Peroxynitrite,20080312,kathy
PT3,HER-1,20070218,kathy
PT30,kit,20070306,kathy
PT300,Neuritin,20080312,kathy
PT301,CB(1),20080312,kathy
PT302,tPA,20080312,kathy
PT303,GRO-alpha,20080312,kathy
PT304,aldose reductase,20080312,kathy
PT305,AGE,20080330,kathy
PT306,CD11a,20080330,kathy
PT307,CD11b,20080330,kathy
PT308,CD18,20080330,kathy
PT309,eNOS,20080330,kathy
PT31,L-myc,20070306,kathy
PT310,PGI2,20080330,kathy
PT311,PGE2,20080330,kathy
PT312,thrombomodulin,20080330,kathy
PT313,PPAR alpha,20080330,kathy
PT314,NAD(P)H oxidase,20080330,kathy
PT315,IGF-1,20080330,kathy
PT316,urotensin-II,20080331,kathy
PT317,Nestin,20080401,kathy
PT318,AT-1R,20080401,kathy
PT319,AT-2R,20080401,kathy
PT32,MLM,20070306,kathy
PT320,TEM7,20080401,kathy
PT321,Kinin B(1),20080401,kathy
PT322,Kinin B(2),20080401,kathy
PT323,caspase 1,20080401,kathy
PT324,Azurocidin,20080401,kathy
PT326,somatostatin,20080401,kathy
PT327,angiotensin II,20080402,kathy
PT328,G-protein,20080402,kathy
PT329,H-ras,20080402,kathy
PT33,myb,20070306,kathy
PT330,Sphingokinase,20080402,kathy
PT331,Angiopoietin-2,20080402,kathy
PT332,Renin angiotensin  system,20080414,kathy
PT333,thromboxane,20080427,kathy
PT334,Protein kinase A,20080427,kathy
PT335,Aldosterone,20080427,kathy
PT336,P-CREB,20080427,kathy
PT337,PAI-1,20080428,kathy
PT338,JAK2,20080428,kathy
PT339,CDK4,20080429,kathy
PT34,N-myc,20070306,kathy
PT340,CTGF,20080429,kathy
PT341,NOX4,20080429,kathy
PT342,SGK1,20080429,kathy
PT343,ODC1,20080615,kathy
PT344,bad,20080804,kathy
PT345,C-telopeptide,20080804,kathy
PT346,BADH,20080804,kathy
PT347,CD4,20080804,kathy
PT348,mGluR2/3,20080822,kathy
PT349,caspase 7,20080906,kathy
PT35,raf,20070306,kathy
PT350,Ki67,20080908,kathy
PT351,vWF,20080908,kathy
PT352,CD31,20080908,kathy
PT353,MMP-7,20080908,kathy
PT354,TUNEL,20080908,kathy
PT355,HSP27,20080908,kathy
PT356,HO-1,20080908,kathy
PT357,Glucokinase,20080909,kathy
PT358,TXB-2,20080915,kathy
PT359,Syk kinase,20081109,kathy
PT36,ski,20070306,kathy
PT360,MIP-1alpha,20081111,kathy
PT37,sis,20070306,kathy
PT39,TSC2,20070306,kathy
PT4,GnRH Receptor,20070222,kathy
PT40,trk,20070306,kathy
PT41,PPARgamma,20070307,kathy
PT42,E-cadherin,20070307,kathy
PT43,p53,20070307,kathy
PT44,MDM2,20070307,kathy
PT45,p27kip1,20070308,kathy
PT46,cyclin,20070308,kathy
PT47,IFN Gamma,20070312,kathy
PT48,IL 4,20070312,kathy
PT49,TNF – beta,20070312,kathy
PT5,x(c)-cystine transport,20070222,kathy
PT50,p185 Her – 2 Protein,20070312,kathy
PT51,APO – 2 Ligand,20070312,kathy
PT52,Fas Ligand,20070312,kathy
PT54,IL 6,20070312,kathy
PT55,TNF - alpha,20070312,kathy
PT56,Bax,20070312,kathy
PT57,Cu/Zn Superoxide Dismutase,20070312,kathy
PT6,PI-3 kinase,20070222,kathy
PT60,IL 2,20070312,kathy
PT61,IL 5,20070312,kathy
PT62,IL 10,20070312,kathy
PT63,IL 12,20070312,kathy
PT64,Vitamin D receptor (VDR),20070312,kathy
PT65,Bak,20070313,kathy
PT66,GADD45,20070313,kathy
PT67,MAP,20070313,kathy
PT68,ERK,20070313,kathy
PT69,tubulin,20070314,kathy
PT7,mTOR,20070222,kathy
PT70,Bax-alpha,20070314,kathy
PT71,Cathepsin L,20070314,kathy
PT74,MDR proteins,20070314,kathy
PT75,telomerase,20070314,kathy
PT76,TRAIL/APO – 2L,20070314,kathy
PT77,TGF-beta,20070314,kathy
PT78,TM2 – PK,20070314,kathy
PT79,PTK6,20070315,kathy
PT8,STAT3,20070222,kathy
PT80,HER-4,20070315,kathy
PT81,BRCA 1,20070318,kathy
PT82,BRCA 2,20070318,kathy
PT83,DKK-1,20070318,kathy
PT84,IGF-1R,20070318,kathy
PT86,HDAC,20070318,kathy
PT87,Ndrg-1,20070318,kathy
PT88,HIF-1alpha,20070320,kathy
PT89,Caspases,20070320,kathy
PT9,Ca-ATP pump,20070222,kathy
PT90,JNK,20070320,kathy
PT92,LAK cells,20070321,kathy
PT93,p21,20070321,kathy
PT94,cyclin dependent kinase,20070321,kathy
PT95,MT(1),20070321,kathy
PT96,5-alpha reductase,20070323,kathy
PT97,15-LO-1,20070327,kathy
PT98,P-selectin,20070327,kathy
PT99,IGFBP-3,20070327,kathy
