id,title,abstract,publicationId,volume,issue,pages,year,month,location,citation,uploadedDate,enteredDate,enteredBy,pubMedId
AR00944,Advances in the use of milk thistle (Silybum marianum).,"Milk thistle (Silybum marianum) is an herbal supplement used to treat liver and biliary disorders. Silymarin, a mixture of flavanoid complexes, is the active component that protects liver and kidney cells from toxic effects of drugs, including chemotherap",PB1,6,2,104-9,2007,6,AR-20071202-11447.pdf,"Post-White J, Ladas EJ, Kelly KM.Advances in the use of milk thistle (Silybum marianum). Integr Cancer Ther. 2007 Jun;6(2):104-9.",20071202,20071202,kathy,17548789 
AR00945,Review of clinical trials evaluating safety and efficacy of milk thistle (Silybum marianum [L.] Gaertn.).,Milk thistle extracts have been used as traditional herbal remedies for almost 2000 years. The extracts are still widely used to protect the liver against toxins and to control chronic liver diseases. Recent experimental and clinical studies suggest that ,PB1,6,2,146-57,2007,6,AR-20071202-11665.pdf,"Tamayo C, Diamond S.Review of clinical trials evaluating safety and efficacy of milk thistle (Silybum marianum [L.] Gaertn.). Integr Cancer Ther. 2007 Jun;6(2):146-57.",20071202,20071202,kathy,17548793
AR00946,Clinical applications of Silybum marianum in oncology.,"Milk thistle (Silybum marianum) is an herb that is increasingly used in oncology research and treatment settings. Historically, it has been used to treat liver and biliary disorders and has been used in detoxification and cleansing protocols. However, mil",PB1,6,2,158-65,2007,6,AR-20071202-11816.pdf,"Greenlee H, Abascal K, Yarnell E, Ladas E.Clinical applications of Silybum marianum in oncology.Integr Cancer Ther. 2007 Jun;6(2):158-65. ",20071202,20071202,kathy,17548794
AR00947,Milk thistle nomenclature: why it matters in cancer research and pharmacokinetic studies.,"Extracts of milk thistle have been recognized for centuries as ""liver tonics"" and are well-known to prevent or reverse hepatotoxicity of reactive drug metabolites or naturally occurring toxins. Milk thistle extracts are now under intense study in the expe",PB1,6,2,110-9,2007,6,AR-20071202-12077.pdf,"Kroll DJ, Shaw HS, Oberlies NH.Milk thistle nomenclature: why it matters in cancer research and pharmacokinetic studies. Integr Cancer Ther. 2007 Jun;6(2):110-9.",20071202,20071202,kathy,17548790
AR00962,Role of omega-3 fatty acid supplementation in inflammation and malignancy.,"Omega-3 fatty acids (FAs), which include eicosapentaenoic acid (EPA) and docosahexaenoic acid, are found in fish oils and have long been investigated as components of therapy for various disease states. Population studies initially revealed the cardioprot",PB1,3,2,98-111,2004,6,AR-20071202-35389.pdf,"Jho DH, Cole SM, Lee EM, Espat NJ.Role of omega-3 fatty acid supplementation in inflammation and malignancy. Integr Cancer Ther. 2004 Jun;3(2):98-111.",20071202,20071202,kathy,15165497
AR00966,Potential attenuation of disease progression in recurrent prostate cancer with plant-based diet and stress reduction.,"A rising level of prostate-specific antigen (PSA), after primary surgery or radiation therapy, is the hallmark of recurrent prostate cancer and is often the earliest sign of extraprostatic spread in patients who are otherwise asymptomatic. While hormonal ",PB1,5,3,206-13,2006,9,AR-20071202-36677.pdf,"Saxe GA, Major JM, Nguyen JY, Freeman KM, Downs TM, Salem CE.Potential attenuation of disease progression in recurrent prostate cancer with plant-based diet and stress reduction.Integr Cancer Ther. 2006 Sep;5(3):206-13.",20071202,20071202,kathy, 16880425
AR00970,Toward the definition of the mechanism of action of silymarin: activities related to cellular protection from toxic damage induced by chemotherapy.,"Silymarin, the active extract from milk thistle, has been extensively used in patients with liver disease of different etiology. Although silymarin is a complex of 7 flavonolignans and polyphenols, silibinin is usually regarded as the most active componen",PB1,6,2,120-9,2007,6,AR-20071202-38415.pdf,"Comelli MC, Mengs U, Schneider C, Prosdocimi M.Toward the definition of the mechanism of action of silymarin: activities related to cellular protection from toxic damage induced by chemotherapy. Integr Cancer Ther. 2007 Jun;6(2):120-9.",20071202,20071202,kathy,17548791
AR00971,Chemopreventive efficacy of silymarin in skin and prostate cancer.,"Prevention and therapeutic intervention by phytochemicals are newer dimensions in the arena of cancer management. In this regard, the cancer chemopreventive role of silymarin (Silybum marianum) has been extensively studied and has shown anticancer efficac",PB1,6,2,130-45,2007,6,AR-20071202-38589.pdf,"Deep G, Agarwal R.Chemopreventive efficacy of silymarin in skin and prostate cancer. Integr Cancer Ther. 2007 Jun;6(2):130-45.",20071202,20071202,kathy,17548792
AR00974,Cancer therapy with tetrathiomolybdate: antiangiogenesis by lowering body copper--a review.,"A new anticopper drug, tetrathiomolybdate (TM), developed for Wilson's disease, is a very promising antiangiogenic agent. Copper levels lowered into an antiangiogenic window by TM have shown efficacy against cancer in a variety of animal models as well as",PB1,1,4,327-37,2002,12,AR-20071202-39181.pdf,"Brewer GJ, Merajver SD.Cancer therapy with tetrathiomolybdate: antiangiogenesis by lowering body copper--a review.Integr Cancer Ther. 2002 Dec;1(4):327-37. ",20071202,20071202,kathy,14664727
AR00977,Cruciferous vegetables: cancer protective mechanisms of glucosinolate hydrolysis products and selenium,"Dietetic professionals urge Americans to increase fruit and vegetable intakes. The American Institute of Cancer Research estimates that if the only dietary change made was to increase the daily intake of fruits and vegetables to 5 servings per day, cancer",PB1,3,1,5-12,2004,3,AR-20071202-39726.pdf,"Keck AS, Finley JW.Cruciferous vegetables: cancer protective mechanisms of glucosinolate hydrolysis products and selenium. Integr Cancer Ther. 2004 Mar;3(1):5-12.",20071202,20071202,kathy,15035868
AR00985,Integrative tumor board: glioblastoma multiforme.,Nutritional and botanical approach to management of GBM.,PB1,3,2,149-172,2004,6,AR-20071206-13035.pdf,"Dixit S, Pueschel JK, Wallace JM, Bolletino RC, Block KI.Integrative tumor board: glioblastoma multiforme. Integr Cancer Ther. 2004 Jun;3(2):149-72.",20071206,20071206,kathy,15165500
AR00023,Sulfasalazine-induced cystine starvation: potential use for prostate cancer therapy,"BACKGROUND: Certain cancers depend for growth on uptake of cystine/cysteine from their environment. Here we examined advanced human prostate cancer cell lines, DU-145 and PC-3, for dependence on extracellular cystine and sensitivity to sulfasalazine (SASP",PB10,67,2,162-71,2007,2,,"Prostate, 2007 Feb;6792): pp 162-71.",,20070222,kathy,17075799
AR00151,The effects of the dual 5alpha-reductase inhibitor dutasteride on localized prostate cancer--results from a 4-month pre-radical prostatectomy study,"BACKGROUND: As dihydrotestosterone (DHT) is the most potent androgen in the prostate, inhibition of the 5alpha-reductase isoenzymes, which convert testosterone to DHT, could be an appropriate target for the treatment of prostate cancer. METHODS: Eighty-on",PB10,66,15,1674-85,2006,11,,Prostate. 2006 Nov 1;66(15):1674-85,,20070323,kathy,16927304 
AR00182,Adenocarcina of the mouse prostate growth inhibition by celecoxib: downregulation of transcription factors involved in COX-2 inhibition,"BACKGROUND: Epidemiological studies have shown a decreased risk of prostate cancer among men who regularly take aspirin or other non-steroidal anti-inflammatory drugs (NSAIDs). In this study, we examined a dose-dependent effect of a cyclooxygenase-2 (COX-",PB10,66,3,257-65,2006,2,,Prostate. 2006 Feb 15;66(3):257-65,,20070328,kathy,16175586
AR01282,Multiple Molecular pathways explain the anti-proliferative effect of valproic acid on prostate cancer cells in vitro and in vivo.,"BACKGROUND: Valproic acid (VPA), is a drug approved by the FDA for epilepsy and bipolar disorders. It is a known Histone Deacetylase Inhibitor (HDACI). We tested VPA, for its anti-proliferative activity in prostate cancer (PCa) cell lines in vitro and in ",PB10,67,10,1099-110,2007,7,,"Shabbeer S, Kortenhorst MS, Kachhap S, Galloway N, Rodriguez R, Carducci MA.Multiple Molecular pathways explain the anti-proliferative effect of valproic acid on prostate cancer cells in vitro and in vivo.  Prostate. 2007 Jul 1;67(10):1099-110.",,20080210,kathy,17477369
AR00207,Disulfiram and low nickel diet in the management of hand eczema: a clinical study,"BACKGROUND: Hand eczema due to nickel sensitivity is a challenging task for the dermatologist. The average human diet provides sufficient amount of nickel, which acts as a provocating factor in nickel-sensitive individuals. When such patients are treated ",PB100,72,2,113-8,2006,3,Disulfiram_and_dermatitis.doc, Indian J Dermatol Venereol Leprol. 2006 Mar-Apr;72(2):113-8.,20070416,20070416,kathy,16707816
AR00523,Hydroxyurea as an alternative therapy for psoriasis.,"BACKGROUND: Methotrexate is the drug of choice in extensive psoriasis in developing countries. In patients who can not take methotrexate either due to intolerance or concomitant liver disease, there is an urgent need for an alternative affordable and acce",PB100,70,1,13-7,2004,1,AR-20070823-21363.pdf,"Sharma VK, Dutta B, Ramam M. Indian J Dermatol Venereol Leprol. 2004 Jan-Feb;70(1):13-7.",20070823,20070823,kathy,17642550 
AR00208,Disulfiram irreversibly aggregates betaine aldehyde dehydrogenase--a potential target for antimicrobial agents against Pseudomonas aeruginosa,"In the human pathogen Pseudomonas aeruginosa, betaine aldehyde dehydrogenase (PaBADH) may play the dual role of assimilating carbon and nitrogen from choline or choline precursors--abundant at infection sites--and producing glycine betaine, which protects",PB101,341,2,408-15,2006,3,,Biochem Biophys Res Commun. 2006 Mar 10;341(2):408-15.,,20070416,kathy,16426571
AR00221,Disulfiram is a potent in vitro inhibitor of DNA topoisomerases.,The drug disulfiram is a thiol-reacting drug that is relatively nontoxic when used alone and has been used in the therapy of alcohol abuse for more than 40 years. Several effects of this drug have been reported for DNA synthesis and cell proliferation. In,PB101,289,2,586-90,2001,11,,Biochem Biophys Res Commun. 2001 Nov 30;289(2):586-90.,,20070417,kathy,11716515
AR00237,Disulfiram is a potent modulator of multidrug transporter Cdr1p of Candida albicans,"To find novel drugs for effective antifungal therapy in candidiasis, we examined disulfiram, a drug used for the treatment of alcoholism, for its role as a potential modulator of Candida multidrug transporter Cdr1p. We show that disulfiram inhibits the ol",PB101,322,2,520-5,2004,9,,Biochem Biophys Res Commun. 2004 Sep 17;322(2):520-5.,,20070425,kathy,15325261
AR00761,Bromocriptine modulates P-glycoprotein function.,"The multidrug resistance (MDR)-associated P-glycoprotein (P-gp) is a membrane transporter which carries, at the expense of MgATP hydrolysis, many amphiphilic molecules, such as the MDR-related cytotoxic drugs vincristine and vinblastine, and the MDR-rever",PB101,244,2,481-8,1998,3,,"Orlowski S, Valente D, Garrigos M, Ezan E. Bromocriptine modulates P-glycoprotein function. Biochem Biophys Res Commun. 1998 Mar 17;244(2):481-8.",,20071017,kathy,9514944
AR01062,Increased sensitivity of an adriamycin-resistant human small cell lung carcinoma cell line to mitochondrial inhibitors.,The energy metabolism of an atypical multidrug resistant human small cell lung carcinoma cell line (GLC4/ADR) was studied. The glycolytic rate was 30% reduced and the glucose-6-phosphate dehydrogenase activity 2-fold increased in GLC4/ADR compared to the ,PB101,182,2,877-85,1992,1,,"de Jong S, Holtrop M, de Vries H, de Vries EG, Mulder NH.Increased sensitivity of an adriamycin-resistant human small cell lung carcinoma cell line to mitochondrial inhibitors. Biochem Biophys Res Commun. 1992 Jan 31;182(2):877-85.",,20071226,kathy,1310401
AR00211,PKC sulfhydryl targeting by disulfiram produces divergent isozymic regulatory responses that accord with the cancer preventive activity of the thiuram disulfide,"The protein kinase C (PKC) isozyme family plays key roles in cell growth regulation and influences neoplastic disease development and progression. For example, PKCepsilon is oncogenic, and PKCdelta tumor-suppressive. PKC isozymes are characterized by dist",PB102,7,7-8,855-62,2005,7,,Antioxid Redox Signal. 2005 Jul-Aug;7(7-8):855-62.,,20070416,kathy,15998240
AR00212,Disulfiram facilitates intracellular Cu uptake and induces apoptosis in human melanoma cells.,"The alcohol-abuse deterrent disulfiram (DSF) is shown to have a highly selective toxicity against melanoma in culture, inducing a largely apoptotic response, with much lower toxicity against several other cell lines. Melanoma cell lines derived from diffe",PB103,47,27,6914-20,2004,12,,J Med Chem. 2004 Dec 30;47(27):6914-20.,,20070416,kathy,15615540
AR00222,Zinc ejection as a new rationale for the use of cystamine and related disulfide-containing antiviral agents in the treatment of AIDS.,The highly conserved and mutationally intolerant retroviral zinc finger motif of the HIV-1 nucleocapsid protein (NC) is an attractive target for drug therapy due to its participation in multiple stages of the viral replication cycle. A literature search i,PB103,40,13,1969-76,1997,6,,J Med Chem. 1997 Jun 20;40(13):1969-76.,,20070418,kathy,9207937
AR00623,"Synthesis, flow cytometric evaluation, and identification of highly potent dipyridamole analogues as equilibrative nucleoside transporter 1 inhibitors.",Dipyridamole (Persantine) is a clinically used vasodilator with equilibrative nucleoside transporters 1 and 2 (ENT1 and ENT2) inhibitory activity albeit less potent than the prototype ENT1 inhibitor nitrobenzylmercaptopurine riboside (NBMPR). Dipyridamole,PB103,50,16,3906-20,2007,8,,"Lin W, Buolamwini JK. Synthesis, flow cytometric evaluation, and identification of highly potent dipyridamole analogues as equilibrative nucleoside transporter 1 inhibitors.J Med Chem. 2007 Aug 9;50(16):3906-20. ",,20070910,kathy,17636949
AR00213,Bioavailability and anticataract effects of a topical ocular drug delivery system containing disulfiram and hydroxypropyl-beta-cyclodextrin on selenite-treated rats.,PURPOSE: To test the effect of aqueous eye drops containing a high concentration of disulfiram (DSF) in a cyclodextrin- based drug delivery system. This system increases both the drug solubility in aqueous eye drops and the permeability of drug into the r,PB104,29,1,51-8,2004,7,,Curr Eye Res. 2004 Jul;29(1):51-8.,,20070416,kathy,15370367
AR00307,Correlation between prevention of cataract development by disulfiram and fates of selenium in selenite-treated rats.,"PURPOSE: We found a new pharmacological effect of disulfiram (DSF) against rat pups with cataract induced by selenite injection. The possible reactive mechanism is discussed in this present paper. METHODS: Wistar male and female rats aged 13 and 30 days, ",PB104,18,4,292-9,1999,4,,Curr Eye Res. 1999 Apr;18(4):292-9.,,20070610,kathy,10372989
AR01481,Captopril inhibits capillary degeneration in the early stages of diabetic retinopathy.,PURPOSE: This study was conducted to examine the effect of angiotensin-converting enzyme (ACE) inhibitors on the development of early stages of diabetic retinopathy. METHODS: Rats were made diabetic by injection of streptozotocin and treated with the ACE ,PB104,32,10,883-9,2007,10,,"Zhang JZ, Xi X, Gao L, Kern TS.Captopril inhibits capillary degeneration in the early stages of diabetic retinopathy. Curr Eye Res. 2007 Oct;32(10):883-9.",,20080331,kathy,17963108 
AR00214,Inhibition of invasion and angiogenesis by zinc-chelating agent disulfiram,"Cell invasion and angiogenesis are crucial processes in cancer metastasis that require extracellular matrix (ECM) degradation. Proteolytic degradation of the ECM components is a central event of invasion and angiogenesis processes. During these processes,",PB105,64,5,1076-84,2003,11,Disulfiram_and_angiogenesis.pdf,Mol Pharmacol. 2003 Nov;64(5):1076-84.,,20070416,kathy,14573756
AR00233,The molecular basis of the action of disulfiram as a modulator of the multidrug resistance-linked ATP binding cassette transporters MDR1 (ABCB1) and MRP1 (ABCC1),"The overexpression of multidrug resistance protein 1 (MDR1) and multidrug resistance protein 1 (MRP1) gene products is a major cause of multidrug resistance in cancer cells. A recent study suggested that disulfiram, a drug used to treat alcoholism, might ",PB105,65,3,675-84,2004,3,675.pdf,Mol Pharmacol. 2004 Mar;65(3):675-84.,20070423,20070423,kathy,14978246
AR00261,Disulfiram metabolites permanently inactivate the human multidrug resistance P-glycoprotein.,"The human multidrug resistance P-glycoprotein (P-gp) uses ATP to transport a wide variety of structurally unrelated cytotoxic compounds out of the cell. The relatively high expression of P-gp in organs such as the intestine, kidney, blood-brain/testes bar",PB105,1,6,426-33,2004,11,,Mol Pharm. 2004 Nov-Dec;1(6):426-33. ,,20070502,kathy,16028354
